,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
233,233,9.0,0.9399999976158142,"candy, game, time, get, , move, suggestion, player, life, bank",5236934695,com.midasplayer.apps.candycrushsaga
234,234,2.0,0.5356000065803528,"game, level, candy, reset, money, get, booster, life, year, back",5236911675,com.midasplayer.apps.candycrushsaga
235,235,2.0,0.8033000230789185,"game, level, candy, reset, money, get, booster, life, year, back",5236825393,com.midasplayer.apps.candycrushsaga
236,236,5.0,0.6247000098228455,"level, game, app, reset, longer, money, life, king, deleting, harder",5236579038,com.midasplayer.apps.candycrushsaga
237,237,7.0,0.949999988079071,"booster, game, life, get, move, level, without, exit, year, done",5236375417,com.midasplayer.apps.candycrushsaga
238,238,6.0,0.536899983882904,"game, level, ad, get, middle, , time, update, every, make",5236053948,com.midasplayer.apps.candycrushsaga
239,239,4.0,0.7749000191688538,"ad, game, many, level, , every, way, second, too, middle",5235695530,com.midasplayer.apps.candycrushsaga
240,240,0.0,0.5971999764442444,"update, , new, back, game, level, bring, board, reset, gold",5235578179,com.midasplayer.apps.candycrushsaga
241,241,0.0,0.10000000149011612,"update, , new, back, game, level, bring, board, reset, gold",5235476919,com.midasplayer.apps.candycrushsaga
242,242,2.0,0.887499988079071,"game, level, candy, reset, money, get, booster, life, year, back",5234624884,com.midasplayer.apps.candycrushsaga
243,243,3.0,0.8500000238418579,"commercial, addictive, review, push, em, all, game, ’, say, start",5234141842,com.midasplayer.apps.candycrushsaga
244,244,2.0,0.6998999714851379,"game, level, candy, reset, money, get, booster, life, year, back",5234005026,com.midasplayer.apps.candycrushsaga
245,245,2.0,0.949999988079071,"game, level, candy, reset, money, get, booster, life, year, back",5233732804,com.midasplayer.apps.candycrushsaga
246,246,9.0,0.9549999833106995,"candy, game, time, get, , move, suggestion, player, life, bank",5233625377,com.midasplayer.apps.candycrushsaga
247,247,2.0,0.9437000155448914,"game, level, candy, reset, money, get, booster, life, year, back",5231982468,com.midasplayer.apps.candycrushsaga
248,248,8.0,0.9807999730110168,"game, life, level, update, buy, u, get, , let, got",5231427731,com.midasplayer.apps.candycrushsaga
249,249,7.0,0.9836000204086304,"booster, game, life, get, move, level, without, exit, year, done",5231168934,com.midasplayer.apps.candycrushsaga
250,250,8.0,0.9807999730110168,"game, life, level, update, buy, u, get, , let, got",5231427731,com.midasplayer.apps.candycrushsaga
251,251,7.0,0.9836000204086304,"booster, game, life, get, move, level, without, exit, year, done",5231168934,com.midasplayer.apps.candycrushsaga
252,252,3.0,0.5975000262260437,"commercial, addictive, review, push, em, all, game, ’, say, start",5230849537,com.midasplayer.apps.candycrushsaga
253,253,8.0,0.9864000082015991,"game, life, level, update, buy, u, get, , let, got",5230685370,com.midasplayer.apps.candycrushsaga
254,254,3.0,0.871399998664856,"commercial, addictive, review, push, em, all, game, ’, say, start",5230416989,com.midasplayer.apps.candycrushsaga
255,255,3.0,0.699999988079071,"commercial, addictive, review, push, em, all, game, ’, say, start",5229902328,com.midasplayer.apps.candycrushsaga
256,256,1.0,0.7696999907493591,"game, add, , many, level, really, ever, way, time, much",5229521752,com.midasplayer.apps.candycrushsaga
257,257,1.0,0.7749999761581421,"game, add, , many, level, really, ever, way, time, much",5229429667,com.midasplayer.apps.candycrushsaga
258,258,1.0,0.550000011920929,"game, add, , many, level, really, ever, way, time, much",5229360689,com.midasplayer.apps.candycrushsaga
259,259,6.0,0.8208000063896179,"game, level, ad, get, middle, , time, update, every, make",5228785293,com.midasplayer.apps.candycrushsaga
260,260,0.0,0.10000000149011612,"update, , new, back, game, level, bring, board, reset, gold",5228470866,com.midasplayer.apps.candycrushsaga
261,261,2.0,0.5419999957084656,"game, level, candy, reset, money, get, booster, life, year, back",5227927756,com.midasplayer.apps.candycrushsaga
262,262,2.0,0.4113999903202057,"game, level, candy, reset, money, get, booster, life, year, back",5227191827,com.midasplayer.apps.candycrushsaga
263,263,6.0,0.9700000286102295,"game, level, ad, get, middle, , time, update, every, make",5227184595,com.midasplayer.apps.candycrushsaga
264,264,1.0,0.8199999928474426,"game, add, , many, level, really, ever, way, time, much",5227070368,com.midasplayer.apps.candycrushsaga
265,265,2.0,0.8169999718666077,"game, level, candy, reset, money, get, booster, life, year, back",5227029922,com.midasplayer.apps.candycrushsaga
266,266,2.0,0.871399998664856,"game, level, candy, reset, money, get, booster, life, year, back",5226901241,com.midasplayer.apps.candycrushsaga
267,267,2.0,0.8999999761581421,"game, level, candy, reset, money, get, booster, life, year, back",5226441564,com.midasplayer.apps.candycrushsaga
268,268,0.0,0.957099974155426,"update, , new, back, game, level, bring, board, reset, gold",5226410747,com.midasplayer.apps.candycrushsaga
269,269,6.0,0.5385000109672546,"game, level, ad, get, middle, , time, update, every, make",5226393432,com.midasplayer.apps.candycrushsaga
270,270,5.0,0.9526000022888184,"level, game, app, reset, longer, money, life, king, deleting, harder",5225723429,com.midasplayer.apps.candycrushsaga
271,271,9.0,0.7749999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5225139561,com.midasplayer.apps.candycrushsaga
272,272,2.0,0.384799987077713,"game, level, candy, reset, money, get, booster, life, year, back",5224793559,com.midasplayer.apps.candycrushsaga
273,273,9.0,0.4902999997138977,"candy, game, time, get, , move, suggestion, player, life, bank",5223351263,com.midasplayer.apps.candycrushsaga
274,274,9.0,0.7749999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5223149341,com.midasplayer.apps.candycrushsaga
275,275,1.0,0.5504000186920166,"game, add, , many, level, really, ever, way, time, much",5222576959,com.midasplayer.apps.candycrushsaga
276,276,7.0,0.8500000238418579,"booster, game, life, get, move, level, without, exit, year, done",5222380145,com.midasplayer.apps.candycrushsaga
277,277,9.0,0.5428000092506409,"candy, game, time, get, , move, suggestion, player, life, bank",5222202132,com.midasplayer.apps.candycrushsaga
278,278,1.0,0.8199999928474426,"game, add, , many, level, really, ever, way, time, much",5221922919,com.midasplayer.apps.candycrushsaga
279,279,4.0,0.38690000772476196,"ad, game, many, level, , every, way, second, too, middle",5221067168,com.midasplayer.apps.candycrushsaga
280,280,2.0,0.5432000160217285,"game, level, candy, reset, money, get, booster, life, year, back",5219751422,com.midasplayer.apps.candycrushsaga
281,281,6.0,0.5652999877929688,"game, level, ad, get, middle, , time, update, every, make",5219716002,com.midasplayer.apps.candycrushsaga
282,282,1.0,0.6829000115394592,"game, add, , many, level, really, ever, way, time, much",5219397382,com.midasplayer.apps.candycrushsaga
283,283,1.0,0.7749999761581421,"game, add, , many, level, really, ever, way, time, much",5219380332,com.midasplayer.apps.candycrushsaga
284,284,5.0,0.5498999953269958,"level, game, app, reset, longer, money, life, king, deleting, harder",5219144708,com.midasplayer.apps.candycrushsaga
285,285,1.0,0.650600016117096,"game, add, , many, level, really, ever, way, time, much",5219054419,com.midasplayer.apps.candycrushsaga
286,286,7.0,0.5498999953269958,"booster, game, life, get, move, level, without, exit, year, done",5218977471,com.midasplayer.apps.candycrushsaga
287,287,1.0,0.6998000144958496,"game, add, , many, level, really, ever, way, time, much",5218551108,com.midasplayer.apps.candycrushsaga
288,288,1.0,0.8500000238418579,"game, add, , many, level, really, ever, way, time, much",5218537858,com.midasplayer.apps.candycrushsaga
289,289,1.0,0.9878000020980835,"game, add, , many, level, really, ever, way, time, much",5218445512,com.midasplayer.apps.candycrushsaga
290,290,8.0,0.935699999332428,"game, life, level, update, buy, u, get, , let, got",5218354095,com.midasplayer.apps.candycrushsaga
291,291,6.0,0.968999981880188,"game, level, ad, get, middle, , time, update, every, make",5218149680,com.midasplayer.apps.candycrushsaga
